"","X1.1501","accs"
"1433",1433,NA
"1434",1434,NA
"1435",1435,NA
"1436",1436,NA
"1437",1437,NA
"1438",1438,NA
"1439",1439,NA
"1440",1440,NA
"1441",1441,0.641509433962264
"1442",1442,NA
"1443",1443,NA
"1444",1444,NA
"1445",1445,NA
"1446",1446,NA
"1447",1447,NA
"1448",1448,NA
"1449",1449,NA
"1450",1450,NA
"1451",1451,0.641509433962264
"1452",1452,NA
"1453",1453,NA
"1454",1454,NA
"1455",1455,NA
"1456",1456,NA
"1457",1457,NA
"1458",1458,NA
"1459",1459,NA
"1460",1460,NA
"1461",1461,0.639794168096055
"1462",1462,NA
"1463",1463,NA
"1464",1464,NA
"1465",1465,NA
"1466",1466,NA
"1467",1467,NA
"1468",1468,NA
"1469",1469,NA
"1470",1470,NA
"1471",1471,0.638078902229846
"1472",1472,NA
"1473",1473,NA
"1474",1474,NA
"1475",1475,NA
"1476",1476,NA
"1477",1477,NA
"1478",1478,NA
"1479",1479,NA
"1480",1480,NA
"1481",1481,0.643224699828473
"1482",1482,NA
"1483",1483,NA
"1484",1484,NA
"1485",1485,NA
"1486",1486,NA
"1487",1487,NA
"1488",1488,NA
"1489",1489,NA
"1490",1490,NA
"1491",1491,0.641509433962264
"1492",1492,NA
"1493",1493,NA
"1494",1494,NA
"1495",1495,NA
"1496",1496,NA
"1497",1497,NA
"1498",1498,NA
"1499",1499,NA
"1500",1500,NA
"1501",1501,0.639794168096055
